City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,Zabol,32.25,67.25,54.37,55,9,1.01,AF,2022-03-09 07:26:34
223,Yellowknife,62.456,-114.3525,-12.48,84,0,6.91,CA,2022-03-09 07:26:34
224,Poya,-21.35,165.15,82.09,75,40,7.27,NC,2022-03-09 07:26:35
225,Port Hardy,50.6996,-127.4199,42.8,93,20,2.3,CA,2022-03-09 07:26:35
226,Tabatinga,-4.2525,-69.9381,71.69,100,75,2.3,BR,2022-03-09 07:26:36
227,Curvelo,-18.7564,-44.4308,65.16,85,8,3.91,BR,2022-03-09 07:26:36
228,Strezhevoy,60.7333,77.5889,-13.02,91,100,10.47,RU,2022-03-09 07:26:37
229,Baiyin,36.5583,104.2081,63.48,21,100,6.02,CN,2022-03-09 07:26:37
230,Oakham,52.6667,-0.7333,46.44,90,75,11.5,GB,2022-03-09 07:26:38
231,Ponta Do Sol,32.6667,-17.1,57.83,64,3,7.99,PT,2022-03-09 07:26:38
232,Otofuke,42.9917,143.2003,34.75,90,12,4.21,JP,2022-03-09 07:26:39
233,Saint George,37.1041,-113.5841,42.64,42,0,4.61,US,2022-03-09 07:26:39
234,Pec,42.6591,20.2883,30.49,70,52,5.21,XK,2022-03-09 07:26:40
235,Rock Sound,24.9,-76.2,75.61,77,3,18.45,BS,2022-03-09 07:26:40
236,Valdivia,-39.8142,-73.2459,41.09,95,1,1.5,CL,2022-03-09 07:26:41
237,Margate,51.3813,1.3862,47.95,81,72,8.01,GB,2022-03-09 07:26:41
238,Samandag,36.0842,35.9771,55.92,93,100,3.6,TR,2022-03-09 07:26:42
239,Coquimbo,-29.9533,-71.3436,58.73,94,0,4.61,CL,2022-03-09 07:26:42
240,Mingguang,32.7802,117.9638,72.48,25,0,12.71,CN,2022-03-09 07:26:42
241,Brae,60.3964,-1.353,44.51,88,100,29.19,GB,2022-03-09 07:26:43
242,Airai,-8.9266,125.4092,66.2,92,100,0.94,TL,2022-03-09 07:26:43
243,Marrakesh,31.6315,-8.0083,48.27,81,0,1.14,MA,2022-03-09 07:26:44
244,Harlingen,26.1906,-97.6961,54.34,89,100,13.8,US,2022-03-09 07:26:44
245,Puerto Rondon,6.2805,-71.1,80.65,52,99,4.94,CO,2022-03-09 07:26:45
246,Esperance,-33.8667,121.9,85.84,58,100,20.87,AU,2022-03-09 07:26:46
247,Were Ilu,10.6,39.4333,67.82,14,15,3.49,ET,2022-03-09 07:26:46
248,Zvishavane,-20.3267,30.0665,73.69,55,5,9.15,ZW,2022-03-09 07:26:47
249,Camaguey,21.3808,-77.9169,70.14,94,20,9.22,CU,2022-03-09 07:26:47
250,Lagoa,39.05,-27.9833,56.79,75,19,4.7,PT,2022-03-09 07:26:48
251,Port Hawkesbury,45.6169,-61.3485,23.18,76,100,19.57,CA,2022-03-09 07:26:48
252,Treuchtlingen,48.95,10.9167,28.81,64,9,3.36,DE,2022-03-09 07:26:49
253,Vila,42.0304,-8.1588,45.32,93,100,5.57,PT,2022-03-09 07:26:49
254,Hami,42.8,93.45,60.1,19,27,6.87,CN,2022-03-09 07:26:50
255,Constitucion,-35.3333,-72.4167,56.91,91,0,6.08,CL,2022-03-09 07:26:50
256,Turukhansk,65.8167,87.9833,-3.28,91,100,7.61,RU,2022-03-09 07:26:51
257,Aykhal,66.0,111.5,2.95,94,100,13.98,RU,2022-03-09 07:26:51
258,Malinovoye Ozero,51.6753,79.7825,24.6,60,46,3.18,RU,2022-03-09 07:26:52
259,Sarangani,5.4033,125.4636,81.28,77,100,3.94,PH,2022-03-09 07:26:52
260,Hobyo,5.3505,48.5268,83.14,53,16,18.14,SO,2022-03-09 07:26:53
261,Westport,41.1415,-73.3579,38.95,67,0,4.0,US,2022-03-09 07:22:00
262,Laguna,38.421,-121.4238,56.32,63,0,0.0,US,2022-03-09 07:26:53
263,Atasu,48.6814,71.6433,21.88,72,100,7.92,KZ,2022-03-09 07:26:54
264,Mahebourg,-20.4081,57.7,85.24,89,40,6.91,MU,2022-03-09 07:26:54
265,Koundara,12.4833,-13.3,72.63,19,11,2.8,GN,2022-03-09 07:26:55
266,Dwarka,22.2394,68.9678,84.25,32,0,12.17,IN,2022-03-09 07:26:55
267,Kruisfontein,-34.0033,24.7314,74.88,62,0,8.12,ZA,2022-03-09 07:26:56
268,Sungairaya,0.7,108.9,85.64,67,52,7.47,ID,2022-03-09 07:27:56
269,Henties Bay,-22.116,14.2845,62.85,87,91,5.1,NA,2022-03-09 07:27:57
270,Yulara,-25.2406,130.9889,89.44,10,5,12.66,AU,2022-03-09 07:27:57
271,Sao Joao Da Barra,-21.6403,-41.0511,75.4,88,0,7.45,BR,2022-03-09 07:24:06
272,Marzuq,14.4,46.4667,82.22,6,98,4.36,YE,2022-03-09 07:27:58
273,Caravelas,-17.7125,-39.2481,72.91,91,88,2.57,BR,2022-03-09 07:27:59
274,San Rafael Del Sur,11.8485,-86.4384,75.99,73,6,10.07,NI,2022-03-09 07:27:59
275,Snezhnogorsk,69.1933,33.2531,17.38,91,81,8.03,RU,2022-03-09 07:28:00
276,Nishihara,26.1842,127.7558,69.46,49,20,11.5,JP,2022-03-09 07:28:00
277,Egvekinot,66.3167,-179.1667,13.17,78,1,11.07,RU,2022-03-09 07:28:01
278,Ancud,-41.8697,-73.8203,51.22,72,14,12.15,CL,2022-03-09 07:28:01
279,Siniscola,40.5719,9.6922,36.95,59,6,6.89,IT,2022-03-09 07:28:02
280,New Norfolk,-42.7826,147.0587,64.65,39,5,1.99,AU,2022-03-09 07:28:02
281,San Quintin,30.4833,-115.95,56.17,68,0,8.97,MX,2022-03-09 07:28:03
282,Terney,45.0503,136.6092,38.53,78,100,5.19,RU,2022-03-09 07:28:03
283,Chimbarongo,-34.7,-71.05,54.48,69,0,3.24,CL,2022-03-09 07:24:18
284,Kavieng,-2.5744,150.7967,82.72,75,100,6.35,PG,2022-03-09 07:28:04
285,Luang Prabang,19.8856,102.1347,89.56,43,0,4.61,LA,2022-03-09 07:28:05
286,Tuatapere,-46.1333,167.6833,61.83,90,100,2.75,NZ,2022-03-09 07:28:05
287,Singarayakonda,15.25,80.0333,89.17,43,0,11.34,IN,2022-03-09 07:28:06
288,Alihe,50.5667,123.7167,40.37,70,100,5.48,CN,2022-03-09 07:28:06
289,Fairview,40.8126,-73.999,41.49,53,0,11.01,US,2022-03-09 07:24:37
290,Valguarnera Caropepe,37.4955,14.3888,40.59,54,8,8.7,IT,2022-03-09 07:28:07
291,Ribeira Grande,38.5167,-28.7,54.0,87,40,3.44,PT,2022-03-09 07:28:07
292,Saint-Ambroise,48.5501,-71.3324,14.49,99,99,3.02,CA,2022-03-09 07:28:08
