City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather
244,Kavieng,PG,-2.5744,150.7967,84.02,70,87,10.65,overcast clouds
245,Severo-Kurilsk,RU,50.6789,156.125,30.36,80,58,10.56,broken clouds
246,Hays,US,30.0502,-98.0336,57.36,66,0,3.56,clear sky
247,Saint-Leu,RE,-21.15,55.2833,85.03,74,69,2.1,broken clouds
248,Tuktoyaktuk,CA,69.4541,-133.0374,-21.37,99,16,9.1,few clouds
249,Talara,PE,-4.5772,-81.2719,76.75,78,78,8.95,broken clouds
250,Liverpool,GB,53.4106,-2.9779,46.94,88,20,4.61,few clouds
251,Neryungri,RU,56.6709,124.6491,2.88,92,100,14.32,light snow
252,Luquillo,PR,18.3725,-65.7166,75.15,94,100,6.91,overcast clouds
253,Hofn,IS,64.2539,-15.2082,35.44,71,84,34.96,moderate rain
254,Lasa,IT,46.6166,10.7002,38.28,82,88,5.97,overcast clouds
255,Tessalit,ML,20.1986,1.0114,70.23,14,25,5.46,scattered clouds
256,Plettenberg Bay,ZA,-34.0527,23.3716,63.84,69,8,3.74,clear sky
257,Lebu,CL,-37.6167,-73.65,56.17,93,8,10.13,clear sky
258,Kijabe,KE,-0.933,36.5758,68.41,66,18,1.83,few clouds
259,Mananjary,MG,-21.2167,48.3333,77.67,85,90,1.28,overcast clouds
260,Erzin,TR,36.9559,36.2,40.1,47,0,3.38,clear sky
261,Yenagoa,NG,4.9247,6.2642,77.16,91,94,1.61,overcast clouds
262,Atambua,ID,-9.1061,124.8925,83.28,68,22,0.4,few clouds
263,Arman,RU,59.7,150.1667,30.02,76,97,3.36,overcast clouds
264,Saskylakh,RU,71.9167,114.0833,-8.12,93,97,5.55,overcast clouds
265,Sisimiut,GL,66.9395,-53.6735,-7.51,97,100,8.41,overcast clouds
266,Vanderhoof,CA,54.0166,-124.0198,35.44,75,100,10.31,overcast clouds
267,Henties Bay,NA,-22.116,14.2845,62.38,85,16,3.76,few clouds
268,Kununurra,AU,-15.7667,128.7333,98.58,49,40,5.75,scattered clouds
269,Arlit,NE,18.7369,7.3853,71.46,11,11,8.37,few clouds
270,Pedra Azul,BR,-16.0053,-41.2972,66.42,99,44,2.86,scattered clouds
271,Chokurdakh,RU,70.6333,147.9167,-9.0,90,90,13.13,overcast clouds
272,Ishinomaki,JP,38.4167,141.3,48.2,71,71,9.42,broken clouds
273,Mahon,ES,39.8885,4.2658,57.76,94,75,19.57,mist
274,Dapaong,TG,10.8639,0.205,79.2,26,100,4.47,overcast clouds
275,Pisco,PE,-13.7,-76.2167,68.05,77,0,4.61,clear sky
276,Taoudenni,ML,22.6783,-3.9836,62.47,26,0,12.55,clear sky
277,Handan,CN,36.6006,114.4678,55.53,44,100,17.38,light rain
278,Kristiinankaupunki,FI,62.2743,21.376,27.68,88,25,7.65,scattered clouds
279,Port Keats,AU,-14.25,129.55,92.82,51,88,0.85,overcast clouds
280,Itoman,JP,26.1247,127.6694,78.82,61,75,10.36,broken clouds
281,Camacha,PT,33.0833,-16.3333,56.62,63,75,28.77,broken clouds
282,Lagoa,PT,39.05,-27.9833,56.12,55,93,5.86,overcast clouds
283,Otradnoye,RU,59.7775,30.8181,33.04,91,36,4.81,scattered clouds
284,Qaqortoq,GL,60.7167,-46.0333,-6.34,69,98,8.39,overcast clouds
285,Saint George,US,37.1041,-113.5841,60.64,27,0,1.99,clear sky
286,Filadelfia,US,39.9523,-75.1638,54.75,60,20,3.44,few clouds
287,Provideniya,RU,64.3833,-173.3,4.69,80,0,5.06,clear sky
288,Chicama,PE,-7.8447,-79.1469,66.74,70,38,3.8,scattered clouds
289,Roseau,DM,15.3017,-61.3881,76.62,74,24,21.45,few clouds
290,Monrovia,LR,6.3005,-10.7969,77.31,87,65,1.21,broken clouds
291,Soyo,AO,-6.1349,12.3689,79.41,80,100,5.37,overcast clouds
292,Mogocha,RU,53.7333,119.7667,9.23,54,99,11.77,overcast clouds
293,Kholodnyy,RU,62.7167,147.95,5.18,86,70,1.23,broken clouds
294,Iskateley,RU,67.6803,53.1512,22.84,94,100,12.03,overcast clouds
295,Westport,US,41.1415,-73.3579,51.94,83,0,1.01,clear sky
296,Traverse City,US,44.7631,-85.6206,37.62,80,0,5.75,clear sky
297,Umm Lajj,SA,25.0213,37.2685,62.17,34,0,31.7,clear sky
298,Cockburn Town,TC,21.4612,-71.1419,77.18,75,1,21.59,clear sky
299,Hualmay,PE,-11.0964,-77.6139,71.51,79,27,6.73,scattered clouds
300,Bud,US,39.447,-86.1758,55.15,88,9,3.02,clear sky
301,Walvis Bay,NA,-22.9575,14.5053,60.1,100,100,4.61,fog
302,Namatanai,PG,-3.6667,152.4333,82.36,73,94,6.53,overcast clouds
303,Perth,AU,-31.9333,115.8333,80.78,57,75,17.27,broken clouds
304,Ternate,ID,0.8,127.4,84.43,73,62,0.2,broken clouds
305,Bougouni,ML,11.417,-7.479,80.74,49,43,5.28,scattered clouds
306,Guapore,BR,-28.8456,-51.8903,67.71,100,98,1.5,overcast clouds
307,Samarai,PG,-10.6167,150.6667,85.1,72,73,14.27,broken clouds
308,Katima Mulilo,NA,-17.5,24.2667,70.03,89,100,1.05,overcast clouds
